flight_id,date,origin,dest,distance_nm,aircraft_type,takeoff_weight_klbs,headwind_kt,month,day_of_week,actual_trip_fuel_kg
FL002466,2023-01-04,ATL,MIA,595,A320,125.9,-26.9,1,2,4559.0
FL013664,2023-01-04,BOS,ORD,720,B737,125.0,3.8,1,2,5873.0
FL004329,2023-01-04,BOS,ORD,720,B789,302.3,34.5,1,2,10866.0
FL000355,2023-01-04,DFW,DEN,560,B738,131.1,-31.9,1,2,4486.0
FL007670,2023-01-04,SEA,DEN,890,B789,308.3,27.7,1,2,14152.0
FL013473,2023-01-04,JFK,LHR,3020,B738,127.0,-9.2,1,2,25207.0
FL013703,2023-01-04,DFW,DEN,560,A321,138.8,-16.6,1,2,4712.0
FL009076,2023-01-04,SEA,DEN,890,B738,136.5,4.9,1,2,7754.0
FL002753,2023-01-04,DFW,DEN,560,B789,308.3,10.3,1,2,8374.0
FL012382,2023-01-04,DFW,DEN,560,A321,142.9,-4.0,1,2,4942.0
FL002142,2023-01-04,SFO,SEA,680,A320,124.8,2.7,1,2,5521.0
FL010900,2023-01-04,DFW,DEN,560,B737,123.9,17.7,1,2,4844.0
FL009603,2023-01-04,BOS,ORD,720,B789,331.5,-13.3,1,2,9819.0
FL000169,2023-01-04,ORD,DFW,720,B737,129.9,40.4,1,2,6768.0
FL001199,2023-01-05,JFK,MIA,1090,A320,124.5,44.4,1,3,9649.0
FL008668,2023-01-05,DFW,DEN,560,B789,339.4,3.4,1,3,8616.0
FL014806,2023-01-05,JFK,LAX,2145,B789,307.2,-3.1,1,3,34505.0
FL012926,2023-01-05,DFW,DEN,560,B789,337.4,14.8,1,3,8706.0
FL005165,2023-01-05,ATL,MIA,595,A320,120.7,28.9,1,3,5307.0
FL014559,2023-01-05,SEA,DEN,890,B738,138.4,-11.2,1,3,7377.0
FL001940,2023-01-05,SFO,SEA,680,B737,131.9,-9.1,1,3,6026.0
FL009236,2023-01-05,LAX,SFO,300,A320,132.0,-12.6,1,3,2324.0
FL009299,2023-01-05,ORD,DFW,720,B789,338.5,7.9,1,3,11126.0
FL003699,2023-01-05,SEA,DEN,890,B789,323.9,13.1,1,3,13834.0
FL004247,2023-01-05,ATL,MIA,595,B737,131.2,7.8,1,3,4829.0
FL010934,2023-01-05,SFO,SEA,680,A320,132.6,14.8,1,3,5803.0
FL007817,2023-01-05,ATL,MIA,595,B789,309.7,21.6,1,3,9415.0
FL007718,2023-01-05,ORD,DFW,720,A321,138.0,42.0,1,3,7450.0
FL007980,2023-01-05,BOS,ORD,720,B738,130.2,11.6,1,3,6640.0
FL007872,2023-01-05,SEA,DEN,890,B737,124.8,-2.1,1,3,6924.0
FL001193,2023-01-05,SFO,SEA,680,A320,131.6,15.2,1,3,5635.0
FL012186,2023-01-05,JFK,LAX,2145,A320,125.9,-0.5,1,3,17162.0
FL005852,2023-01-05,JFK,MIA,1090,B738,121.7,-2.6,1,3,8983.0
FL002720,2023-01-05,SFO,SEA,680,B737,125.1,33.3,1,3,6203.0
FL011063,2023-01-05,JFK,LHR,3020,A320,122.4,14.5,1,3,25646.0
FL009146,2023-01-05,DFW,DEN,560,B738,131.8,16.3,1,3,4816.0
FL007285,2023-01-05,DFW,DEN,560,B738,139.9,-16.1,1,3,4541.0
FL006642,2023-01-05,SFO,SEA,680,B789,341.0,26.0,1,3,10543.0
FL007250,2023-01-05,SEA,DEN,890,B737,129.3,-35.6,1,3,7217.0
FL008298,2023-01-05,LAX,SFO,300,B789,339.6,-7.9,1,3,4452.0
FL004079,2023-01-05,DFW,DEN,560,A321,135.9,37.7,1,3,5462.0
FL003935,2023-01-05,ATL,MIA,595,B789,327.3,12.4,1,3,9184.0
FL002867,2023-01-05,SFO,SEA,680,B737,119.4,43.2,1,3,6287.0
FL000915,2023-01-05,BOS,ORD,720,A320,131.2,27.1,1,3,6173.0
FL007581,2023-01-06,BOS,ORD,720,B789,310.2,4.2,1,4,10176.0
FL000757,2023-01-06,JFK,LAX,2145,B737,124.5,11.9,1,4,17542.0
FL012095,2023-01-06,ATL,MIA,595,B789,338.9,-15.9,1,4,8687.0
FL007930,2023-01-06,JFK,LAX,2145,B789,327.6,36.9,1,4,34614.0
FL005384,2023-01-06,JFK,LAX,2145,B738,122.5,5.8,1,4,20504.0
FL005910,2023-01-06,BOS,ORD,720,B737,127.9,26.5,1,4,6165.0
FL012999,2023-01-06,ORD,DFW,720,A320,126.9,25.3,1,4,6183.0
FL011933,2023-01-06,BOS,ORD,720,A320,117.6,27.0,1,4,6405.0
FL002231,2023-01-06,ORD,DFW,720,B789,336.1,-14.2,1,4,10563.0
FL007019,2023-01-06,DFW,DEN,560,B789,340.8,11.4,1,4,8222.0
FL007568,2023-01-06,JFK,LHR,3020,B737,132.2,-24.3,1,4,22802.0
FL010559,2023-01-06,JFK,MIA,1090,B738,137.6,-12.9,1,4,9259.0
FL002132,2023-01-06,ATL,MIA,595,A320,122.0,-5.5,1,4,4497.0
FL009269,2023-01-06,DFW,DEN,560,B737,128.3,15.1,1,4,4838.0
FL014184,2023-01-06,SFO,SEA,680,B737,115.8,20.6,1,4,6061.0
FL012654,2023-01-06,DFW,DEN,560,A320,125.3,14.7,1,4,4656.0
FL007212,2023-01-06,JFK,LAX,2145,B738,135.8,2.0,1,4,18728.0
FL007926,2023-01-06,ORD,DFW,720,B737,124.0,-6.2,1,4,6079.0
FL012264,2023-01-06,ATL,MIA,595,B789,308.4,-1.0,1,4,8686.0
FL001812,2023-01-06,SEA,DEN,890,B789,340.6,10.3,1,4,14054.0
FL008504,2023-01-06,LAX,SFO,300,B737,131.9,3.3,1,4,2641.0
FL000454,2023-01-07,BOS,ORD,720,B737,122.6,-6.2,1,5,5930.0
FL014091,2023-01-07,SFO,SEA,680,A321,136.5,4.1,1,5,5801.0
FL001825,2023-01-07,ORD,DFW,720,B738,133.8,-3.5,1,5,6070.0
FL004877,2023-01-07,ORD,DFW,720,A321,123.7,8.1,1,5,6643.0
FL005147,2023-01-07,BOS,ORD,720,B738,133.5,7.8,1,5,5981.0
FL011771,2023-01-07,JFK,MIA,1090,A320,128.6,-18.7,1,5,8235.0
FL009432,2023-01-07,ATL,MIA,595,B789,302.6,-4.9,1,5,8656.0
FL014884,2023-01-07,JFK,LAX,2145,A320,120.8,-8.9,1,5,17555.0
FL014891,2023-01-07,BOS,ORD,720,B738,120.5,35.3,1,5,6419.0
FL006981,2023-01-07,JFK,LAX,2145,B789,326.0,7.4,1,5,31537.0
FL006848,2023-01-07,JFK,LHR,3020,B789,324.6,37.5,1,5,44295.0
FL013991,2023-01-07,LAX,SFO,300,A321,125.2,22.0,1,5,2876.0
FL006554,2023-01-07,JFK,MIA,1090,B737,117.1,28.6,1,5,9517.0
FL011986,2023-01-07,SEA,DEN,890,B789,299.5,3.4,1,5,13200.0
FL010823,2023-01-07,SEA,DEN,890,B737,117.7,37.8,1,5,7600.0
FL000167,2023-01-07,JFK,LHR,3020,A320,116.8,22.5,1,5,24275.0
FL013681,2023-01-07,SFO,SEA,680,A321,122.6,9.1,1,5,6233.0
FL002781,2023-01-07,SEA,DEN,890,B738,136.1,0.0,1,5,7205.0
FL003278,2023-01-08,SFO,SEA,680,A320,125.9,9.8,1,6,5774.0
FL004140,2023-01-08,DFW,DEN,560,B737,120.8,-3.9,1,6,4381.0
FL010012,2023-01-08,JFK,MIA,1090,B789,315.2,27.9,1,6,17907.0
FL002117,2023-01-08,LAX,SFO,300,A320,114.4,-7.2,1,6,2510.0
FL006635,2023-01-08,BOS,ORD,720,A321,132.7,2.0,1,6,6665.0
FL008085,2023-01-08,ORD,DFW,720,B737,127.6,6.3,1,6,6223.0
FL013475,2023-01-08,SFO,SEA,680,A321,132.7,23.1,1,6,6325.0
FL013125,2023-01-08,JFK,LAX,2145,B737,126.2,11.7,1,6,18030.0
FL011895,2023-01-08,JFK,LAX,2145,A320,119.3,10.1,1,6,17646.0
FL004164,2023-01-08,ATL,MIA,595,B738,127.1,22.0,1,6,5310.0
FL014185,2023-01-08,BOS,ORD,720,B738,140.3,1.7,1,6,6210.0
FL006670,2023-01-08,SFO,SEA,680,B738,137.8,27.8,1,6,6376.0
FL014615,2023-01-08,BOS,ORD,720,A321,140.1,6.6,1,6,6348.0
FL003540,2023-01-08,JFK,LAX,2145,A321,136.1,8.9,1,6,19726.0
FL008042,2023-01-08,ORD,DFW,720,A321,132.4,9.5,1,6,6751.0
FL009210,2023-01-08,SFO,SEA,680,A320,130.9,20.2,1,6,5622.0
FL008166,2023-01-08,JFK,LAX,2145,A321,131.9,26.7,1,6,19481.0
FL001874,2023-01-08,BOS,ORD,720,A321,143.4,-2.9,1,6,6512.0
FL004790,2023-01-08,ATL,MIA,595,A321,138.8,5.1,1,6,5225.0
FL002594,2023-01-08,SEA,DEN,890,B737,125.4,6.2,1,6,7543.0
FL003213,2023-01-09,ORD,DFW,720,B738,125.5,2.2,1,0,6269.0
FL006992,2023-01-09,LAX,SFO,300,B738,127.7,-10.4,1,0,2449.0
FL014084,2023-01-09,ORD,DFW,720,A321,133.8,-13.6,1,0,6091.0
FL014607,2023-01-09,SFO,SEA,680,B738,131.1,6.0,1,0,5546.0
FL005768,2023-01-09,ATL,MIA,595,A320,117.0,10.1,1,0,4936.0
FL007887,2023-01-09,SFO,SEA,680,B737,124.0,5.2,1,0,5750.0
FL008716,2023-01-09,JFK,LAX,2145,B738,135.2,58.0,1,0,20701.0
FL001092,2023-01-09,SFO,SEA,680,A320,119.4,19.4,1,0,5689.0
FL002925,2023-01-09,DFW,DEN,560,A321,127.9,-17.0,1,0,4729.0
FL011125,2023-01-09,DFW,DEN,560,B737,114.1,-7.9,1,0,4737.0
FL000429,2023-01-09,SEA,DEN,890,B737,128.0,-0.5,1,0,7529.0
FL007507,2023-01-09,LAX,SFO,300,A320,113.3,14.7,1,0,2405.0
FL002304,2023-01-09,SFO,SEA,680,B737,129.5,9.4,1,0,6000.0
FL007924,2023-01-09,ORD,DFW,720,B789,311.9,-13.8,1,0,10568.0
FL004001,2023-01-10,JFK,MIA,1090,B738,126.2,-11.6,1,1,9284.0
FL000559,2023-01-10,SEA,DEN,890,A321,133.7,9.9,1,1,8407.0
FL002929,2023-01-10,JFK,LHR,3020,B737,128.3,-2.1,1,1,25601.0
FL001012,2023-01-10,SEA,DEN,890,A321,136.3,-0.6,1,1,7249.0
FL001457,2023-01-10,JFK,MIA,1090,B738,138.9,1.2,1,1,9702.0
FL003962,2023-01-10,BOS,ORD,720,B737,123.7,18.3,1,1,6340.0
FL009111,2023-01-10,JFK,LAX,2145,B737,116.6,17.2,1,1,19199.0
FL014274,2023-01-10,SFO,SEA,680,B789,340.6,18.3,1,1,10764.0
FL013530,2023-01-10,ATL,MIA,595,B738,136.4,-2.8,1,1,5152.0
FL007747,2023-01-10,ATL,MIA,595,B738,121.0,0.8,1,1,4997.0
FL003731,2023-01-10,BOS,ORD,720,B737,123.3,9.6,1,1,6085.0
FL013899,2023-01-10,SFO,SEA,680,A321,141.0,-1.0,1,1,6124.0
FL012494,2023-01-10,SFO,SEA,680,B738,131.1,4.0,1,1,5929.0
FL008259,2023-01-10,LAX,SFO,300,B789,322.3,30.7,1,1,4865.0
FL000834,2023-01-10,LAX,SFO,300,B738,125.5,3.8,1,1,2595.0
FL003127,2023-01-10,SFO,SEA,680,B789,318.2,33.5,1,1,11364.0
FL010672,2023-01-10,BOS,ORD,720,B737,121.5,36.5,1,1,6861.0
FL009096,2023-01-10,SFO,SEA,680,A321,143.6,7.4,1,1,5890.0
FL005915,2023-01-11,LAX,SFO,300,A321,139.5,-15.2,1,2,2627.0
FL012336,2023-01-11,SEA,DEN,890,B738,129.7,-5.9,1,2,7147.0
FL013594,2023-01-11,JFK,LAX,2145,B789,334.9,27.3,1,2,32058.0
FL011861,2023-01-11,JFK,LAX,2145,B738,132.1,34.0,1,2,17918.0
FL002000,2023-01-11,JFK,MIA,1090,A320,118.3,-16.3,1,2,8379.0
FL011560,2023-01-11,JFK,LHR,3020,B737,115.5,38.9,1,2,27801.0
FL009173,2023-01-11,SEA,DEN,890,A320,120.4,-17.5,1,2,6948.0
FL014280,2023-01-11,JFK,LAX,2145,B737,125.3,-8.2,1,2,17102.0
FL012544,2023-01-11,SEA,DEN,890,B738,130.6,18.1,1,2,7499.0
FL003226,2023-01-11,SEA,DEN,890,A320,122.2,20.7,1,2,7959.0
FL009030,2023-01-11,BOS,ORD,720,B789,305.4,-25.7,1,2,10717.0
FL007793,2023-01-11,SEA,DEN,890,B738,133.4,5.8,1,2,7736.0
FL010495,2023-01-11,SEA,DEN,890,A321,135.0,6.0,1,2,8225.0
FL001966,2023-01-11,JFK,MIA,1090,A321,144.1,20.6,1,2,10749.0
FL000465,2023-01-11,BOS,ORD,720,A321,143.3,4.5,1,2,6422.0
FL011387,2023-01-11,JFK,MIA,1090,B789,302.1,9.0,1,2,16677.0
FL003296,2023-01-11,JFK,MIA,1090,B737,131.1,14.1,1,2,9564.0
FL008048,2023-01-11,ORD,DFW,720,B738,129.0,8.3,1,2,6039.0
FL008493,2023-01-12,ORD,DFW,720,A321,133.6,25.4,1,3,7189.0
FL010391,2023-01-12,ATL,MIA,595,B737,126.4,-0.9,1,3,5117.0
FL003225,2023-01-12,LAX,SFO,300,A320,122.7,5.7,1,3,2651.0
FL004230,2023-01-12,JFK,MIA,1090,B738,127.9,9.1,1,3,9920.0
FL012816,2023-01-12,SFO,SEA,680,B789,337.5,-23.0,1,3,9861.0
FL007139,2023-01-12,BOS,ORD,720,B789,327.7,6.8,1,3,10826.0
FL008197,2023-01-12,ATL,MIA,595,A320,118.2,-9.5,1,3,4560.0
FL013520,2023-01-12,SFO,SEA,680,A321,131.7,22.2,1,3,6486.0
FL001064,2023-01-12,JFK,MIA,1090,A320,121.5,12.4,1,3,9635.0
FL000836,2023-01-12,LAX,SFO,300,B737,112.3,-6.1,1,3,2383.0
FL008933,2023-01-12,ORD,DFW,720,B737,132.4,-2.9,1,3,5910.0
FL014778,2023-01-12,DFW,DEN,560,B789,324.3,-10.1,1,3,8489.0
FL004867,2023-01-12,ORD,DFW,720,B789,323.1,25.3,1,3,11860.0
FL000096,2023-01-12,JFK,LAX,2145,A320,127.2,39.0,1,3,18155.0
FL014014,2023-01-12,SEA,DEN,890,B738,121.5,54.2,1,3,8471.0
FL005356,2023-01-12,SFO,SEA,680,B738,123.6,7.3,1,3,5930.0
FL008067,2023-01-12,ATL,MIA,595,B737,130.1,1.4,1,3,5262.0
FL008276,2023-01-12,JFK,LHR,3020,A321,124.6,-19.7,1,3,25363.0
FL003891,2023-01-13,ATL,MIA,595,B738,136.9,4.3,1,4,5029.0
FL005911,2023-01-13,DFW,DEN,560,B737,114.4,12.1,1,4,4771.0
FL010047,2023-01-13,LAX,SFO,300,A320,122.6,20.5,1,4,2645.0
FL007271,2023-01-13,JFK,LAX,2145,B789,334.4,-19.3,1,4,31077.0
FL013361,2023-01-13,LAX,SFO,300,B737,120.2,38.4,1,4,2803.0
FL006182,2023-01-13,LAX,SFO,300,B789,307.5,27.4,1,4,4506.0
FL002665,2023-01-13,LAX,SFO,300,A320,122.1,16.5,1,4,2359.0
FL012284,2023-01-13,SFO,SEA,680,A320,132.8,-0.4,1,4,5363.0
FL001731,2023-01-13,LAX,SFO,300,A321,126.2,0.7,1,4,2617.0
FL012047,2023-01-13,ATL,MIA,595,A321,128.4,22.7,1,4,5438.0
FL006936,2023-01-13,BOS,ORD,720,B789,303.7,-0.9,1,4,10551.0
FL006473,2023-01-13,SFO,SEA,680,B737,127.5,7.6,1,4,6085.0
FL014852,2023-01-13,JFK,LAX,2145,A321,137.7,22.9,1,4,20434.0
FL008137,2023-01-13,JFK,MIA,1090,B738,122.7,-1.3,1,4,10121.0
FL001485,2023-01-13,LAX,SFO,300,A320,118.4,5.4,1,4,2474.0
FL009068,2023-01-13,SEA,DEN,890,A321,141.0,14.9,1,4,9015.0
FL006965,2023-01-13,JFK,LAX,2145,B789,338.6,0.5,1,4,33447.0
FL011419,2023-01-13,BOS,ORD,720,B789,314.1,1.8,1,4,10641.0
FL010781,2023-01-13,BOS,ORD,720,A321,128.1,18.0,1,4,6807.0
FL011988,2023-01-14,LAX,SFO,300,A321,124.0,-0.1,1,5,2496.0
FL001946,2023-01-14,BOS,ORD,720,B738,121.2,11.9,1,5,6516.0
FL010940,2023-01-14,SEA,DEN,890,B738,138.3,12.6,1,5,8274.0
FL004177,2023-01-14,BOS,ORD,720,B737,126.3,20.1,1,5,6443.0
FL005179,2023-01-14,JFK,MIA,1090,A321,122.1,50.8,1,5,11279.0
FL003802,2023-01-14,ORD,DFW,720,B789,316.9,13.3,1,5,10865.0
FL009699,2023-01-14,JFK,MIA,1090,B789,335.8,-8.1,1,5,16303.0
FL013650,2023-01-14,JFK,LAX,2145,B738,127.5,39.4,1,5,19902.0
FL006705,2023-01-14,ORD,DFW,720,B738,136.0,17.0,1,5,6408.0
FL000984,2023-01-14,SEA,DEN,890,A321,122.9,-20.0,1,5,7367.0
FL010503,2023-01-14,SEA,DEN,890,B737,123.4,16.0,1,5,8064.0
FL011866,2023-01-14,BOS,ORD,720,A321,143.0,23.4,1,5,6790.0
FL008921,2023-01-14,JFK,MIA,1090,A320,127.4,33.3,1,5,9740.0
FL002906,2023-01-14,BOS,ORD,720,B789,339.7,21.7,1,5,10435.0
FL006507,2023-01-14,JFK,MIA,1090,A321,133.9,-4.4,1,5,9832.0
FL014582,2023-01-14,JFK,LHR,3020,A321,136.6,-5.5,1,5,25863.0
FL014680,2023-01-15,JFK,LAX,2145,A320,121.7,7.3,1,6,19048.0
FL012117,2023-01-15,JFK,LHR,3020,A320,119.2,8.8,1,6,25557.0
FL014772,2023-01-15,ORD,DFW,720,B738,140.2,21.4,1,6,6230.0
FL010610,2023-01-15,DFW,DEN,560,B737,125.4,8.4,1,6,4960.0
FL009396,2023-01-15,DFW,DEN,560,B737,126.9,16.9,1,6,4771.0
FL012140,2023-01-15,DFW,DEN,560,A321,128.9,17.2,1,6,5138.0
FL007531,2023-01-15,ORD,DFW,720,A321,134.9,42.3,1,6,6733.0
FL006542,2023-01-15,ORD,DFW,720,A321,125.4,10.9,1,6,6902.0
FL012454,2023-01-15,ORD,DFW,720,A321,138.5,-10.0,1,6,6361.0
FL000979,2023-01-15,ATL,MIA,595,B738,137.4,-32.6,1,6,4773.0
FL004833,2023-01-15,JFK,LAX,2145,A321,144.3,9.0,1,6,20592.0
FL007960,2023-01-15,SFO,SEA,680,A320,130.9,8.8,1,6,5492.0
FL004963,2023-01-15,JFK,LAX,2145,B738,130.1,-6.2,1,6,18151.0
FL011088,2023-01-15,DFW,DEN,560,A321,138.3,1.0,1,6,4906.0
FL003737,2023-01-15,SFO,SEA,680,B789,341.6,7.5,1,6,9929.0
FL010420,2023-01-15,LAX,SFO,300,A321,136.0,19.5,1,6,2890.0
FL009518,2023-01-15,JFK,LHR,3020,A320,113.0,4.2,1,6,22286.0
FL002360,2023-01-15,LAX,SFO,300,B789,326.5,13.0,1,6,4719.0
FL003657,2023-01-15,JFK,LHR,3020,A321,125.0,24.6,1,6,28724.0
FL004518,2023-01-16,BOS,ORD,720,B737,129.4,10.6,1,0,5863.0
FL004157,2023-01-16,DFW,DEN,560,B738,128.0,15.6,1,0,4736.0
FL013728,2023-01-16,ORD,DFW,720,B738,138.1,10.1,1,0,6234.0
FL004924,2023-01-16,ORD,DFW,720,B738,128.8,18.4,1,0,6172.0
FL004644,2023-01-16,ATL,MIA,595,B789,341.6,-0.1,1,0,9200.0
FL014907,2023-01-16,DFW,DEN,560,B738,138.6,16.1,1,0,5086.0
FL006501,2023-01-16,LAX,SFO,300,B789,304.7,-9.9,1,0,4657.0
FL010313,2023-01-16,SEA,DEN,890,A321,132.3,21.5,1,0,8424.0
FL000033,2023-01-16,ORD,DFW,720,A321,141.0,10.8,1,0,6565.0
FL011312,2023-01-16,ORD,DFW,720,A320,120.9,20.9,1,0,6499.0
FL014178,2023-01-16,SFO,SEA,680,B738,123.2,10.1,1,0,6384.0
FL005374,2023-01-16,SFO,SEA,680,B789,312.2,20.2,1,0,10847.0
FL005363,2023-01-16,JFK,LAX,2145,B789,305.2,-23.1,1,0,32099.0
FL004336,2023-01-16,BOS,ORD,720,B738,125.2,16.0,1,0,6434.0
FL008275,2023-01-16,JFK,LHR,3020,B738,124.9,-3.7,1,0,25015.0
FL001630,2023-01-16,JFK,MIA,1090,A320,124.5,-8.9,1,0,9040.0
FL009092,2023-01-16,SFO,SEA,680,B789,311.7,3.4,1,0,9804.0
FL011651,2023-01-16,DFW,DEN,560,B738,118.5,7.7,1,0,4754.0
FL007620,2023-01-16,ATL,MIA,595,A321,127.2,0.1,1,0,5034.0
FL000418,2023-01-17,JFK,MIA,1090,A320,116.1,-17.1,1,1,8739.0
FL002983,2023-01-17,BOS,ORD,720,A320,114.4,-5.1,1,1,5821.0
FL014573,2023-01-17,SEA,DEN,890,B789,322.7,3.9,1,1,12591.0
FL009270,2023-01-17,JFK,LAX,2145,B789,316.2,24.9,1,1,33580.0
FL005443,2023-01-17,SFO,SEA,680,B789,337.2,28.7,1,1,10882.0
FL007394,2023-01-17,BOS,ORD,720,B789,341.2,2.5,1,1,11355.0
