flight_id,date,origin,dest,distance_nm,aircraft_type,takeoff_weight_klbs,headwind_kt,month,day_of_week,actual_trip_fuel_kg,retrofitted
W2000165,2025-01-03,JFK,LHR,3020,B737,127.3,34.2,1,4,26856.0,False
W2001150,2025-01-03,LAX,SFO,300,A321,134.0,-10.1,1,4,2666.0,False
W2000390,2025-01-03,BOS,ORD,720,B738,131.1,5.9,1,4,6638.0,False
W2002978,2025-01-03,DFW,DEN,560,B738,139.0,3.6,1,4,4940.0,False
W2000391,2025-01-03,BOS,ORD,720,B789,301.5,12.7,1,4,11001.0,False
W2001767,2025-01-03,BOS,ORD,720,A320,123.2,24.3,1,4,6164.0,False
W2000419,2025-01-03,ATL,MIA,595,B737,119.1,-7.2,1,4,5215.0,False
W2001256,2025-01-03,JFK,LAX,2145,A321,124.2,24.2,1,4,20321.0,False
W2001297,2025-01-03,BOS,ORD,720,B789,317.4,18.4,1,4,11470.0,False
W2001091,2025-01-03,ORD,DFW,720,A321,123.2,14.6,1,4,6836.0,False
W2000453,2025-01-03,ATL,MIA,595,B738,118.7,-18.2,1,4,4962.0,False
W2002033,2025-01-03,JFK,LHR,3020,B737,132.1,22.8,1,4,27025.0,False
W2000850,2025-01-03,SEA,DEN,890,B789,327.2,35.1,1,4,13783.0,False
W2002031,2025-01-03,BOS,ORD,720,A321,124.6,1.6,1,4,6273.0,False
W2000788,2025-01-03,JFK,LAX,2145,B737,121.5,34.8,1,4,18712.0,False
W2002162,2025-01-03,SEA,DEN,890,B789,314.7,24.5,1,4,13329.0,False
W2002989,2025-01-03,BOS,ORD,720,B737,115.2,15.4,1,4,6319.0,False
W2002041,2025-01-03,ATL,MIA,595,A321,136.6,3.8,1,4,5426.0,False
W2001583,2025-01-03,SFO,SEA,680,B738,139.8,21.6,1,4,6061.0,False
W2001627,2025-01-03,JFK,LHR,3020,B737,121.7,27.4,1,4,27595.0,False
W2000704,2025-01-03,JFK,MIA,1090,A320,132.3,18.0,1,4,9643.0,False
W2001983,2025-01-03,ATL,MIA,595,B738,139.6,18.6,1,4,5809.0,False
W2001506,2025-01-03,JFK,MIA,1090,B789,342.9,12.5,1,4,16336.0,False
W2000684,2025-01-03,JFK,LAX,2145,B738,131.5,-7.4,1,4,17629.0,False
W2000592,2025-01-03,SFO,SEA,680,A320,130.8,-6.4,1,4,5647.0,False
W2000279,2025-01-04,SEA,DEN,890,A321,128.3,21.0,1,5,8389.0,False
W2002329,2025-01-04,SEA,DEN,890,B789,314.9,14.4,1,5,13246.0,False
W2001220,2025-01-04,JFK,LHR,3020,A320,124.3,35.5,1,5,27306.0,False
W2000732,2025-01-04,SEA,DEN,890,B789,340.2,38.2,1,5,14785.0,False
W2001321,2025-01-04,BOS,ORD,720,B737,124.6,28.4,1,5,6140.0,False
W2001189,2025-01-04,LAX,SFO,300,B738,129.6,2.3,1,5,2572.0,False
W2001926,2025-01-04,SFO,SEA,680,B737,115.8,-4.7,1,5,5143.0,False
W2000531,2025-01-04,JFK,LHR,3020,B737,121.4,28.6,1,5,27371.0,False
W2000260,2025-01-04,DFW,DEN,560,A321,127.1,-3.8,1,5,4914.0,False
W2000535,2025-01-04,BOS,ORD,720,B789,333.6,9.0,1,5,10843.0,False
W2002780,2025-01-04,LAX,SFO,300,B737,124.3,21.7,1,5,2652.0,False
W2000616,2025-01-04,JFK,LAX,2145,A320,117.0,39.2,1,5,19785.0,False
W2000786,2025-01-04,BOS,ORD,720,B789,313.6,3.2,1,5,10946.0,False
W2001079,2025-01-04,BOS,ORD,720,B738,124.0,41.4,1,5,6975.0,False
W2000469,2025-01-04,DFW,DEN,560,B738,135.3,-8.5,1,5,4620.0,False
W2002935,2025-01-04,JFK,LHR,3020,B737,119.0,33.7,1,5,27243.0,False
W2002747,2025-01-04,DFW,DEN,560,B789,306.7,-4.5,1,5,8734.0,False
W2000895,2025-01-04,SFO,SEA,680,A321,141.7,16.7,1,5,6510.0,False
W2002898,2025-01-04,DFW,DEN,560,A321,134.8,16.2,1,5,5038.0,False
W2000525,2025-01-04,SFO,SEA,680,B737,113.7,31.6,1,5,6068.0,False
W2002093,2025-01-04,ATL,MIA,595,A320,116.3,15.8,1,5,5408.0,False
W2000946,2025-01-04,DFW,DEN,560,A320,115.9,31.4,1,5,4691.0,False
W2000158,2025-01-04,SFO,SEA,680,B789,302.4,15.5,1,5,9724.0,False
W2001961,2025-01-04,BOS,ORD,720,A321,136.4,12.5,1,5,6427.0,False
W2002447,2025-01-04,JFK,LAX,2145,B738,139.2,-7.0,1,5,17841.0,False
W2002414,2025-01-04,JFK,LHR,3020,B789,308.0,17.6,1,5,49768.0,False
W2001466,2025-01-04,ATL,MIA,595,B789,327.3,8.4,1,5,8861.0,False
W2002263,2025-01-04,LAX,SFO,300,A321,127.4,39.7,1,5,3125.0,False
W2002481,2025-01-04,SFO,SEA,680,B789,322.2,-3.0,1,5,10123.0,False
W2002431,2025-01-04,SEA,DEN,890,B737,125.4,-7.9,1,5,7306.0,False
W2001365,2025-01-04,JFK,MIA,1090,A320,124.4,1.6,1,5,8700.0,False
W2001859,2025-01-04,ORD,DFW,720,A320,122.6,47.7,1,5,6514.0,False
W2001707,2025-01-04,ORD,DFW,720,B737,125.6,10.0,1,5,6500.0,False
W2002430,2025-01-04,LAX,SFO,300,B738,120.7,9.7,1,5,2778.0,False
W2002314,2025-01-05,JFK,MIA,1090,A320,119.3,4.9,1,6,8871.0,False
W2002957,2025-01-05,LAX,SFO,300,A321,136.9,35.7,1,6,2797.0,False
W2000622,2025-01-05,BOS,ORD,720,B789,307.9,35.2,1,6,11520.0,False
W2001684,2025-01-05,LAX,SFO,300,B789,327.3,1.6,1,6,4542.0,False
W2000645,2025-01-05,SEA,DEN,890,A321,136.8,21.4,1,6,8304.0,False
W2001132,2025-01-05,DFW,DEN,560,B737,122.8,15.6,1,6,4769.0,False
W2000533,2025-01-05,ATL,MIA,595,A321,125.1,-6.6,1,6,5143.0,False
W2001112,2025-01-05,JFK,MIA,1090,B738,139.6,-0.3,1,6,9503.0,False
W2000672,2025-01-05,JFK,MIA,1090,A321,125.0,16.4,1,6,11297.0,False
W2001939,2025-01-05,DFW,DEN,560,B738,129.4,4.2,1,6,4623.0,False
W2001969,2025-01-05,DFW,DEN,560,B738,122.4,-9.5,1,6,5036.0,False
W2001099,2025-01-05,ORD,DFW,720,A321,139.3,5.3,1,6,6853.0,False
W2001050,2025-01-05,JFK,LHR,3020,B789,321.8,23.7,1,6,47317.0,False
W2001406,2025-01-05,BOS,ORD,720,B789,300.2,1.3,1,6,10205.0,False
W2001090,2025-01-05,SEA,DEN,890,B738,127.7,12.0,1,6,7652.0,False
W2000173,2025-01-05,JFK,LHR,3020,A320,132.0,32.1,1,6,25474.0,False
W2000187,2025-01-05,JFK,MIA,1090,B789,334.8,26.5,1,6,17520.0,False
W2000547,2025-01-05,JFK,MIA,1090,A320,123.3,17.8,1,6,8980.0,False
W2000177,2025-01-05,JFK,LAX,2145,A321,124.0,39.1,1,6,20197.0,False
W2001075,2025-01-05,ATL,MIA,595,B738,126.5,34.5,1,6,5457.0,False
W2001106,2025-01-05,SFO,SEA,680,A321,137.3,2.4,1,6,6067.0,False
W2000488,2025-01-05,JFK,LAX,2145,B789,307.9,-31.3,1,6,30843.0,False
W2002559,2025-01-05,JFK,LAX,2145,B789,311.4,8.7,1,6,33249.0,False
W2001928,2025-01-05,JFK,LAX,2145,B738,120.9,8.0,1,6,18008.0,False
W2001339,2025-01-05,JFK,LHR,3020,B789,317.3,21.0,1,6,47085.0,False
W2002594,2025-01-05,JFK,LHR,3020,B789,333.7,27.7,1,6,43310.0,False
W2002796,2025-01-05,SFO,SEA,680,A321,143.7,24.5,1,6,5943.0,False
W2001738,2025-01-05,BOS,ORD,720,B737,115.3,9.8,1,6,6437.0,False
W2000267,2025-01-05,JFK,LHR,3020,B737,130.8,20.3,1,6,24158.0,False
W2002588,2025-01-05,JFK,MIA,1090,B738,134.8,-8.9,1,6,8567.0,False
W2002767,2025-01-05,JFK,MIA,1090,A320,130.4,15.0,1,6,9081.0,False
W2001294,2025-01-05,ATL,MIA,595,A321,131.3,24.1,1,6,5966.0,False
W2001812,2025-01-05,JFK,LHR,3020,B738,140.8,14.0,1,6,26041.0,False
W2000674,2025-01-05,ORD,DFW,720,A320,124.7,-1.0,1,6,6542.0,False
W2002492,2025-01-05,DFW,DEN,560,B789,329.5,12.8,1,6,8826.0,False
W2000718,2025-01-05,ORD,DFW,720,B737,126.5,34.6,1,6,6659.0,False
W2000290,2025-01-05,BOS,ORD,720,A320,128.0,-15.8,1,6,5737.0,False
W2000911,2025-01-05,ORD,DFW,720,A321,142.2,-30.1,1,6,6046.0,False
W2000295,2025-01-05,JFK,LHR,3020,B789,316.0,21.2,1,6,47961.0,False
W2002807,2025-01-05,JFK,LAX,2145,B737,113.2,20.9,1,6,18788.0,False
W2001876,2025-01-05,JFK,LAX,2145,A321,132.4,-3.1,1,6,18637.0,False
W2000280,2025-01-06,DFW,DEN,560,B789,331.4,-6.1,1,0,8076.0,False
W2000258,2025-01-06,JFK,LAX,2145,B789,328.3,15.8,1,0,32830.0,False
W2002247,2025-01-06,JFK,MIA,1090,B738,126.3,34.8,1,0,10320.0,False
W2002180,2025-01-06,SFO,SEA,680,B789,323.7,-12.2,1,0,9924.0,False
W2002503,2025-01-06,JFK,LAX,2145,B789,320.4,15.4,1,0,33042.0,False
W2000300,2025-01-06,ATL,MIA,595,B737,117.9,-8.2,1,0,4976.0,False
W2001565,2025-01-06,JFK,LAX,2145,B737,124.3,7.8,1,0,17500.0,False
W2002837,2025-01-06,ATL,MIA,595,B737,125.5,-40.8,1,0,4277.0,False
W2002080,2025-01-06,DFW,DEN,560,A321,137.9,25.9,1,0,5552.0,False
W2000675,2025-01-06,JFK,MIA,1090,B789,335.2,-14.1,1,0,17347.0,False
W2001600,2025-01-06,SFO,SEA,680,B738,125.0,2.8,1,0,6438.0,False
W2001478,2025-01-06,LAX,SFO,300,B737,115.3,20.5,1,0,2745.0,False
W2002038,2025-01-06,SFO,SEA,680,B737,127.6,-20.2,1,0,5164.0,False
W2000604,2025-01-06,ATL,MIA,595,B737,131.3,38.2,1,0,5409.0,False
W2002159,2025-01-06,DFW,DEN,560,A320,132.8,37.3,1,0,5222.0,False
W2001616,2025-01-06,JFK,MIA,1090,B738,134.1,4.5,1,0,9244.0,False
W2001997,2025-01-06,DFW,DEN,560,A321,142.2,-1.0,1,0,4782.0,False
W2001971,2025-01-06,JFK,LHR,3020,B738,138.4,36.6,1,0,27061.0,False
W2001008,2025-01-06,SFO,SEA,680,A320,131.9,23.3,1,0,5756.0,False
W2001345,2025-01-06,ATL,MIA,595,B789,342.8,45.9,1,0,9125.0,False
W2000568,2025-01-06,BOS,ORD,720,B737,113.4,-16.3,1,0,6042.0,False
W2000458,2025-01-06,DFW,DEN,560,B737,129.7,36.6,1,0,5342.0,False
W2002969,2025-01-06,JFK,LHR,3020,A320,131.0,29.1,1,0,25536.0,False
W2001879,2025-01-06,BOS,ORD,720,B738,139.3,16.7,1,0,6574.0,False
W2000426,2025-01-06,ORD,DFW,720,B737,130.0,10.2,1,0,5896.0,False
W2000481,2025-01-06,LAX,SFO,300,B737,115.3,27.3,1,0,2886.0,False
W2002101,2025-01-06,JFK,MIA,1090,B737,130.8,2.4,1,0,9004.0,False
W2001130,2025-01-06,JFK,LAX,2145,B789,340.7,7.4,1,0,33570.0,False
W2000527,2025-01-06,SFO,SEA,680,B789,342.0,14.1,1,0,9416.0,False
W2000528,2025-01-06,LAX,SFO,300,B738,140.9,-10.6,1,0,2577.0,False
W2000160,2025-01-06,JFK,LAX,2145,B738,125.0,19.6,1,0,20686.0,False
W2002396,2025-01-06,ORD,DFW,720,A320,114.5,16.1,1,0,6323.0,False
W2001780,2025-01-06,SEA,DEN,890,B737,112.5,22.7,1,0,7844.0,False
W2001764,2025-01-06,LAX,SFO,300,B738,138.7,13.6,1,0,2608.0,False
W2000539,2025-01-06,LAX,SFO,300,A321,127.8,13.1,1,0,2759.0,False
W2000178,2025-01-06,JFK,MIA,1090,B789,337.7,-20.5,1,0,15607.0,False
W2001410,2025-01-06,BOS,ORD,720,A320,116.1,22.7,1,0,6082.0,False
W2002761,2025-01-07,DFW,DEN,560,B738,133.0,-2.8,1,1,4680.0,False
W2000793,2025-01-07,JFK,LAX,2145,B738,124.7,35.8,1,1,19073.0,False
W2000921,2025-01-07,JFK,LAX,2145,B789,305.9,-7.5,1,1,32917.0,False
W2001379,2025-01-07,JFK,LHR,3020,A320,125.3,46.8,1,1,27552.0,False
W2001348,2025-01-07,DFW,DEN,560,A320,126.9,18.7,1,1,4776.0,False
W2001985,2025-01-07,LAX,SFO,300,A320,114.2,11.4,1,1,2556.0,False
W2001513,2025-01-07,ATL,MIA,595,B737,117.1,19.2,1,1,4910.0,False
W2002687,2025-01-07,JFK,LHR,3020,B738,126.6,35.8,1,1,26829.0,False
W2002734,2025-01-07,SFO,SEA,680,A321,141.2,-15.6,1,1,5615.0,False
W2001914,2025-01-07,SFO,SEA,680,B738,137.5,10.6,1,1,6528.0,False
W2002495,2025-01-07,SFO,SEA,680,B737,112.7,22.4,1,1,6419.0,False
W2002555,2025-01-07,JFK,LHR,3020,A321,136.9,19.0,1,1,27989.0,False
W2002845,2025-01-07,LAX,SFO,300,B737,131.1,-12.0,1,1,2490.0,False
W2001372,2025-01-07,JFK,MIA,1090,B789,334.1,10.2,1,1,16849.0,False
W2002459,2025-01-07,BOS,ORD,720,A320,127.6,-13.9,1,1,5776.0,False
W2000380,2025-01-07,ATL,MIA,595,B738,131.9,-22.6,1,1,4940.0,False
W2002374,2025-01-07,ATL,MIA,595,B789,315.7,-6.2,1,1,9331.0,False
W2000693,2025-01-07,JFK,LAX,2145,B738,132.7,6.6,1,1,19623.0,False
W2001077,2025-01-07,ORD,DFW,720,A320,125.2,7.3,1,1,5975.0,False
W2002830,2025-01-07,BOS,ORD,720,B738,138.2,15.9,1,1,6049.0,False
W2001018,2025-01-07,SEA,DEN,890,A320,123.6,11.4,1,1,8000.0,False
W2002477,2025-01-07,LAX,SFO,300,A321,129.8,32.9,1,1,2762.0,False
W2001341,2025-01-07,ORD,DFW,720,B789,316.6,15.3,1,1,11455.0,False
W2002897,2025-01-07,ORD,DFW,720,A320,118.0,2.6,1,1,6224.0,False
W2002161,2025-01-07,JFK,LHR,3020,B738,129.9,16.0,1,1,27199.0,False
W2000328,2025-01-07,SEA,DEN,890,B737,115.4,32.2,1,1,8338.0,False
W2000483,2025-01-07,SFO,SEA,680,B738,132.1,38.2,1,1,6341.0,False
W2001060,2025-01-07,JFK,MIA,1090,A320,128.5,24.6,1,1,9252.0,False
W2002498,2025-01-07,JFK,LHR,3020,A321,136.6,27.6,1,1,27312.0,False
W2002816,2025-01-07,ATL,MIA,595,B738,130.6,-15.1,1,1,5009.0,False
W2000510,2025-01-07,ATL,MIA,595,B738,132.0,14.8,1,1,5308.0,False
W2002858,2025-01-07,LAX,SFO,300,A320,127.7,-12.5,1,1,2296.0,False
W2000843,2025-01-07,ORD,DFW,720,B738,125.3,13.8,1,1,6181.0,False
W2000299,2025-01-07,DFW,DEN,560,B737,117.9,31.1,1,1,5552.0,False
W2002815,2025-01-07,LAX,SFO,300,B738,120.7,-0.0,1,1,2785.0,False
W2001845,2025-01-07,JFK,LAX,2145,A320,131.6,11.3,1,1,15675.0,False
W2001930,2025-01-07,ATL,MIA,595,A321,138.0,17.7,1,1,4933.0,False
W2002007,2025-01-07,LAX,SFO,300,A321,128.6,35.1,1,1,3058.0,False
W2002452,2025-01-08,ATL,MIA,595,A320,130.8,21.5,1,2,5189.0,False
W2001750,2025-01-08,BOS,ORD,720,A321,141.8,27.8,1,2,7081.0,False
W2002458,2025-01-08,JFK,LAX,2145,B789,323.6,17.9,1,2,31008.0,False
W2000477,2025-01-08,JFK,MIA,1090,B738,133.7,6.0,1,2,9310.0,False
W2000382,2025-01-08,SEA,DEN,890,A321,143.2,18.9,1,2,8146.0,False
W2002175,2025-01-08,DFW,DEN,560,B737,120.5,3.0,1,2,4730.0,False
W2001811,2025-01-08,ORD,DFW,720,B738,129.9,8.2,1,2,6219.0,False
W2000460,2025-01-08,JFK,LAX,2145,B789,343.3,26.0,1,2,32506.0,False
W2000465,2025-01-08,ATL,MIA,595,B789,338.4,-15.8,1,2,8917.0,False
W2000691,2025-01-08,ORD,DFW,720,A321,126.3,-28.4,1,2,6265.0,False
W2002441,2025-01-08,JFK,LAX,2145,B738,139.4,2.3,1,2,18999.0,False
W2001619,2025-01-08,SFO,SEA,680,B737,122.0,4.2,1,2,5980.0,False
W2001799,2025-01-08,ATL,MIA,595,A321,137.7,5.3,1,2,5535.0,False
W2002437,2025-01-08,JFK,LAX,2145,A320,128.6,-2.6,1,2,17183.0,False
W2001656,2025-01-08,BOS,ORD,720,A320,115.3,29.0,1,2,6553.0,False
W2001571,2025-01-08,JFK,LAX,2145,B737,121.5,23.8,1,2,19217.0,False
W2001652,2025-01-08,SFO,SEA,680,A320,114.9,19.9,1,2,5757.0,False
W2001886,2025-01-08,SFO,SEA,680,B738,137.4,25.9,1,2,5966.0,False
W2002787,2025-01-08,DFW,DEN,560,B738,138.4,28.7,1,2,5371.0,False
W2001351,2025-01-08,JFK,MIA,1090,B789,315.9,22.0,1,2,16556.0,False
W2002735,2025-01-08,JFK,MIA,1090,A320,128.9,8.7,1,2,7953.0,False
W2001981,2025-01-08,JFK,MIA,1090,B789,312.1,14.8,1,2,17147.0,False
W2002944,2025-01-08,SFO,SEA,680,B738,121.8,42.7,1,2,6397.0,False
W2000957,2025-01-08,SEA,DEN,890,A321,129.8,11.9,1,2,7997.0,False
W2002539,2025-01-08,LAX,SFO,300,B789,333.6,14.2,1,2,4721.0,False
W2001003,2025-01-08,DFW,DEN,560,B737,112.7,-3.6,1,2,4510.0,False
W2001469,2025-01-08,BOS,ORD,720,A321,123.8,-35.4,1,2,5811.0,False
W2001851,2025-01-08,BOS,ORD,720,B789,329.7,2.1,1,2,11282.0,False
W2000183,2025-01-08,BOS,ORD,720,B789,323.7,0.7,1,2,10751.0,False
W2002425,2025-01-08,SFO,SEA,680,A321,133.5,-7.0,1,2,5858.0,False
W2002420,2025-01-08,LAX,SFO,300,B789,307.3,10.5,1,2,4172.0,False
W2001181,2025-01-08,SFO,SEA,680,B738,124.2,-44.3,1,2,5216.0,False
W2001405,2025-01-08,ATL,MIA,595,A321,132.4,7.2,1,2,5325.0,False
W2001149,2025-01-08,ATL,MIA,595,A320,114.0,-18.7,1,2,4641.0,False
W2001526,2025-01-08,LAX,SFO,300,A321,137.6,14.5,1,2,2762.0,False
W2000860,2025-01-08,ATL,MIA,595,B738,126.8,6.4,1,2,5551.0,False
W2002710,2025-01-08,SFO,SEA,680,A321,139.3,44.7,1,2,6876.0,False
W2000813,2025-01-08,SEA,DEN,890,B738,127.1,-2.7,1,2,7760.0,False
W2002518,2025-01-08,JFK,LAX,2145,B738,123.4,-4.4,1,2,17637.0,False
W2000253,2025-01-08,LAX,SFO,300,A320,115.2,10.7,1,2,2434.0,False
W2001555,2025-01-08,SEA,DEN,890,A320,114.9,32.1,1,2,8124.0,False
W2002514,2025-01-08,SFO,SEA,680,B738,131.8,45.7,1,2,6799.0,False
W2002757,2025-01-08,JFK,MIA,1090,B737,132.6,41.1,1,2,10284.0,False
W2002051,2025-01-09,JFK,MIA,1090,A320,117.7,4.7,1,3,9634.0,False
W2000992,2025-01-09,JFK,LHR,3020,B789,333.3,24.1,1,3,47542.0,False
W2002366,2025-01-09,DFW,DEN,560,B789,344.0,8.7,1,3,9012.0,False
W2000457,2025-01-09,LAX,SFO,300,B737,114.3,33.9,1,3,2695.0,False
W2001250,2025-01-09,DFW,DEN,560,A320,115.5,26.8,1,3,4701.0,False
W2001370,2025-01-09,JFK,LAX,2145,B789,312.0,-2.7,1,3,31791.0,False
W2001038,2025-01-09,DFW,DEN,560,B737,129.7,-4.8,1,3,4541.0,False
W2002156,2025-01-09,ORD,DFW,720,B789,316.8,-54.1,1,3,10070.0,False
W2000593,2025-01-09,SFO,SEA,680,A320,119.4,-20.7,1,3,4933.0,False
W2002785,2025-01-09,ORD,DFW,720,B737,126.6,-6.5,1,3,6036.0,False
W2001198,2025-01-09,DFW,DEN,560,B738,132.7,-29.7,1,3,4331.0,False
W2000357,2025-01-09,SFO,SEA,680,B737,121.3,22.9,1,3,5578.0,False
W2000262,2025-01-09,JFK,MIA,1090,A320,113.8,-23.8,1,3,8590.0,False
W2000574,2025-01-09,ATL,MIA,595,B789,320.7,7.6,1,3,9149.0,False
W2002296,2025-01-09,ORD,DFW,720,B738,129.6,35.5,1,3,6309.0,False
W2001751,2025-01-09,ORD,DFW,720,A320,128.4,-0.7,1,3,5800.0,False
W2000774,2025-01-09,JFK,LHR,3020,B738,118.6,31.4,1,3,27153.0,False
W2002214,2025-01-09,ORD,DFW,720,B738,138.5,-10.1,1,3,6180.0,False
W2001708,2025-01-09,DFW,DEN,560,A320,130.9,27.2,1,3,5126.0,False
W2002469,2025-01-09,JFK,LHR,3020,A320,132.4,33.3,1,3,26554.0,False
W2000521,2025-01-09,JFK,LAX,2145,A320,123.1,-10.0,1,3,17840.0,False
W2001814,2025-01-09,LAX,SFO,300,B789,315.9,-22.9,1,3,4670.0,False
W2000445,2025-01-09,SEA,DEN,890,A321,128.2,23.3,1,3,8323.0,False
W2000404,2025-01-09,ATL,MIA,595,A321,132.8,-11.9,1,3,5124.0,False
W2001783,2025-01-09,SEA,DEN,890,B738,133.3,4.5,1,3,7577.0,False
W2002817,2025-01-09,SEA,DEN,890,B737,112.5,11.3,1,3,7705.0,False
W2001810,2025-01-09,ORD,DFW,720,B738,120.2,10.9,1,3,5812.0,False
W2000283,2025-01-09,JFK,MIA,1090,A320,115.0,-15.5,1,3,8617.0,False
W2001502,2025-01-09,JFK,LHR,3020,B789,343.2,29.7,1,3,48061.0,False
